category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Electronics,992d5ddd,False,Cash,547.01,f5d4e73c,Headphones,4,4,Chicago,USA,TX,9440 Cedar St,45377,,2025-02-01 04:48:40,e7442dea-ce68-442e-84c8-a677efe31e16
Electronics,94e1a639,False,Gift Card,619.51,4bf8a39f,Smart Watch,1,4,Los Angeles,USA,TX,9051 Oak St,87625,new,2024-07-09 07:20:40,7e4fcae6-b690-4ee7-8832-162fdf8d8079
Beauty,176e726b,True,Bank Transfer,673.63,095a280e,Face Cream,2,3,Phoenix,USA,AZ,7780 Maple St,31411,"new,trending,sale",2024-09-29 14:01:40,4593581d-4e8f-4aed-80fb-50cc8cb6ee56
Clothing,18c41106,False,Debit Card,265.54,afcbee8b,Hat,2,3,Chicago,USA,NY,5699 Maple St,31581,"exclusive,sale,new",2024-06-27 20:44:40,a76fee52-34e0-4927-95e6-5d2e73a9df9e
Automotive,efa3208f,False,Cash,93.13,cad2e4a9,Air Freshener,3,1,Los Angeles,USA,IL,1001 Oak St,55251,,2024-05-26 07:22:40,fb969fc6-6ab3-48eb-8c0d-36fa2fb17871
Clothing,3b2d432e,False,Cash,870.57,8cadcdd5,Jacket,2,1,Phoenix,USA,IL,1770 Pine St,35613,,2025-01-15 22:19:40,5ce2bf10-87c0-4c4f-a82d-6544a33732f9
Clothing,d53a86e9,True,Gift Card,500.31,3d45617f,Jacket,6,1,Phoenix,USA,NY,9726 Pine St,28863,exclusive,2024-12-10 10:30:40,47d096c9-ab25-4d8e-898a-d1b2ff14860b
Automotive,1e9ae0a5,False,Gift Card,883.8,a6bd86a1,Jump Starter,7,2,Chicago,USA,AZ,7892 Pine St,57969,sale,2024-06-02 18:39:40,0a226a94-1f27-40e2-baa6-dc610a5dae66
Home & Kitchen,aa1cdc27,True,Cash,49.39,84b233a2,Blender,6,,Chicago,USA,TX,5144 Pine St,10294,"trending,new,exclusive",2024-09-05 04:26:40,fa224041-c2d5-4297-b2b5-6da3a36c0887
Books,dc7ecc20,True,Cash,163.99,d87f54fd,History,4,1,Houston,USA,NY,7052 Main St,52295,"sale,new",2025-02-03 17:17:40,a5ce64cd-5335-4d6e-a98f-b43e58b39e5e
Health,4b2b0e6e,False,PayPal,465.2,7c9f3bdf,Pain Reliever,9,,Houston,USA,IL,8740 Cedar St,79996,"limited,sale,trending",2024-04-07 16:40:40,bb6017b6-982e-4fab-8f24-2316de28f762
Sports,1d28454c,True,Cash,645.21,f553ef0f,Dumbbells,1,,New York,USA,CA,1719 Main St,59523,"exclusive,limited,sale",2025-02-22 03:42:40,5e4f454b-31b2-4766-9f19-7d6880960ca3
Books,832b3343,False,PayPal,380.0,119e58d8,Biography,5,,Phoenix,USA,CA,2072 Oak St,55405,"limited,exclusive,trending",2024-09-02 04:44:40,639b9f2b-9d43-4f48-ae72-dacb2d130735
Electronics,987f38e1,False,Bank Transfer,541.4,49b5228e,Tablet,3,3,Los Angeles,USA,CA,1684 Pine St,83048,limited,2024-08-14 19:48:40,c3d5d585-8bf2-49dd-abf5-e3d6ae14631f
Health,5f1ccbd8,True,Credit Card,985.33,17e47f0d,Vitamins,1,5,Phoenix,USA,CA,5691 Main St,55529,,2024-12-10 19:51:40,58104545-d177-4ed0-94ac-5f452651b164
Books,c141d4a5,True,Cash,413.07,ba8a41b5,History,8,1,New York,USA,CA,7172 Maple St,75420,"trending,sale",2024-05-23 10:28:40,bfe7a7ae-cb2a-4204-b1ea-62f3fe281d6e
