category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Electronics,31029532,False,Debit Card,822.68,6c90fba6,TV,7,4,Houston,USA,TX,9656 Pine St,85615,"trending,limited",2024-08-12 01:24:40,a3cc6b7e-4cae-4729-a8d6-848058164bac
Health,d055c813,True,Gift Card,748.73,3fb2d4aa,Thermometer,6,5,Phoenix,USA,AZ,1946 Cedar St,45893,"trending,sale",2024-11-04 20:56:40,7c0b3bec-7dc0-46fa-bc62-b4fec88fa898
Toys,786f01d6,False,Bank Transfer,852.54,5bd1a0ad,Action Figure,5,,Los Angeles,USA,TX,3424 Pine St,84652,,2024-06-19 14:04:40,e6095307-6bac-4d4e-aa2c-ae182202ca86
Books,c78e2aa2,False,Gift Card,406.34,2e5c9487,Biography,7,,Los Angeles,USA,TX,8663 Cedar St,21803,,2024-04-25 19:39:40,0e7d5f44-e488-4d45-8cdf-c03db98faaa6
Electronics,d63db82a,True,Credit Card,569.24,0efd5d8e,Laptop,2,,New York,USA,CA,9400 Pine St,32499,"sale,trending,exclusive",2024-06-18 18:04:40,6c015b36-5685-4f69-829c-b4602da475e9
Home & Kitchen,86aeb3d3,False,Debit Card,855.56,781a994e,Knife Set,6,3,Phoenix,USA,CA,838 Maple St,73710,"new,limited,trending",2024-10-23 21:06:40,6bb0f21b-986f-4608-9267-c743756148c6
Grocery,51465333,False,Credit Card,610.88,f61371e0,Pasta,6,5,Phoenix,USA,CA,7430 Main St,91053,"new,limited,sale",2025-02-26 11:25:40,988ce7cd-fa68-437c-85ce-3666778a43bd
Electronics,46489ad5,True,PayPal,137.89,857775a1,Smart Watch,5,1,Los Angeles,USA,NY,3696 Main St,39774,"limited,trending,exclusive",2024-05-11 05:17:40,fdb0c584-8f5e-417b-8837-075f659e91aa
Home & Kitchen,22dfd020,True,PayPal,477.79,de3c6b99,Plates,7,5,Phoenix,USA,AZ,551 Oak St,90845,exclusive,2024-11-04 04:32:40,310f00df-cde7-4db1-9dc1-ee29874a6489
Sports,35f9b370,False,Cash,805.85,985ca92c,Tennis Racket,7,5,Chicago,USA,TX,5705 Pine St,62492,"new,limited",2025-03-03 20:02:40,e446a886-ea05-4be0-9175-17184ad28928
Grocery,4e640e20,False,Debit Card,439.35,748a1fac,Canned Goods,8,3,Houston,USA,NY,720 Oak St,14089,,2024-08-02 02:43:40,ae35a6bd-82ae-4a0e-a9a6-6672a246e32d
Books,3cb09f90,True,PayPal,892.21,8c037ace,Science Fiction,7,3,New York,USA,CA,4140 Pine St,57315,"new,trending",2024-04-19 13:28:40,cd05817f-2f4d-4340-8548-9a0aaf1335d0
Electronics,cc9d922b,False,PayPal,325.94,13efa404,Headphones,8,4,Los Angeles,USA,TX,6981 Oak St,34533,,2024-03-18 11:23:40,b9e23bbb-5874-4e96-b054-989e878a3896
Books,1dde91c4,False,Cash,307.29,80651b80,Biography,8,5,New York,USA,CA,8324 Pine St,34390,,2024-06-29 13:57:40,fd2f9acd-0f77-440d-b80f-58b92502063a
Books,1dcd3b45,True,Debit Card,406.73,6cc8ebcd,History,10,1,Houston,USA,TX,6965 Main St,89726,sale,2025-01-06 13:47:40,f2b0b6e3-7e79-4538-ae92-a01547953a12
Clothing,230f3943,False,Bank Transfer,685.61,fe8f01e4,Dress,9,3,Chicago,USA,NY,3819 Maple St,34724,new,2024-11-02 22:36:40,7da9cc6b-d52d-4eb8-ba69-46919d51fd12
Books,d40ac241,False,Credit Card,338.03,83dd77c5,Science Fiction,1,4,Los Angeles,USA,IL,3856 Cedar St,24311,,2024-10-20 02:51:40,c360ab0b-e1af-48b5-b532-984bdb39b8bf
Clothing,6f545cc4,False,Credit Card,607.59,99414be3,T-shirt,2,5,Phoenix,USA,TX,3611 Maple St,41065,limited,2024-11-22 04:29:40,88fae9d3-8e92-4d24-8652-5b9d169d4ab1
Electronics,6ad5d175,True,PayPal,144.55,6ee5bfa0,Laptop,9,2,Chicago,USA,CA,8030 Main St,55425,,2025-01-29 01:40:40,5680e577-d5ff-4fbf-b110-b97402591391
