category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Automotive,44e4a3f3,False,Cash,823.8,01357f69,Tire Gauge,1,1,New York,USA,IL,5139 Pine St,42942,"sale,new,trending",2024-12-03 13:09:40,fb0f0f95-efd6-496d-bcef-47705f036757
Beauty,960f6c3e,False,Debit Card,727.03,0b20e756,Shampoo,9,1,New York,USA,CA,4503 Maple St,33013,"trending,sale",2024-08-03 17:30:40,d7d46e3c-67e2-4e15-9244-981708f74b2d
Toys,e63d85b9,False,Bank Transfer,439.22,707c4258,Puzzle,3,1,Houston,USA,TX,4611 Oak St,80972,"sale,new",2025-01-30 04:59:40,79b2c9b4-544c-40fd-8842-0234a807c9a2
Automotive,9e927ebb,False,Cash,731.45,c07f192d,Tire Gauge,9,,Los Angeles,USA,AZ,5989 Maple St,31243,"new,exclusive,limited",2024-10-20 00:57:40,2fd7ebbc-cc1e-4595-9fdd-2cef2c5e62d5
Health,3ce98c3d,False,Gift Card,331.09,5313a925,First Aid Kit,10,1,Los Angeles,USA,NY,8965 Pine St,26688,"sale,trending",2024-12-26 17:05:40,ca131097-6146-496f-a9e0-4be8471b380c
Toys,0a47ca90,True,PayPal,408.36,4971cd76,Puzzle,4,2,Los Angeles,USA,CA,9939 Pine St,42923,"limited,exclusive",2025-01-04 23:25:40,a39cf060-be73-4f6a-a633-18a34fe989b4
Sports,8dcad4e4,False,PayPal,607.33,24a6284b,Basketball,10,1,Chicago,USA,AZ,8733 Maple St,74054,"exclusive,new,trending",2024-08-19 00:55:40,9f0de1c1-ebec-40fc-a979-3a4843158fe1
Electronics,044b9612,True,Debit Card,978.92,38d0ab90,Smartphone,10,,Chicago,USA,CA,5267 Oak St,53489,"limited,trending,sale",2025-02-25 12:38:40,e19b5e1c-6b71-4057-85ff-3a1ff529f53f
Clothing,f113d46a,True,Bank Transfer,60.2,cae1ff10,Shoes,2,,Los Angeles,USA,IL,5645 Maple St,50613,"new,sale",2024-09-08 06:00:40,5053ee2a-1e52-4370-95dd-302390d8d5e3
Books,cc543d09,False,PayPal,43.7,3110d6b7,Self-Help,9,4,Houston,USA,AZ,6845 Oak St,15281,"sale,trending",2024-12-11 22:24:40,3fdf5e53-0073-4f62-9d31-ad9e42b91191
Electronics,80ae885f,True,Gift Card,117.65,bec2ef21,Smartphone,9,4,Phoenix,USA,NY,5478 Oak St,30418,,2024-11-29 09:05:40,155a98ff-37f4-4751-9023-2eba4a306a68
