category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Sports,dd64ba7b,True,Cash,421.55,1710b371,Yoga Mat,6,5,Chicago,USA,CA,3928 Oak St,24121,"limited,new,exclusive",2025-01-29 07:20:40,b8fdb433-b8e5-4380-9760-e4d27d43a2c1
Books,47a81bd4,False,Credit Card,468.85,72c70ace,Biography,8,,Phoenix,USA,IL,1645 Oak St,16980,"limited,sale,trending",2024-06-22 00:00:40,ee871534-b5a7-4f9f-abe6-46656f7f7c8d
Automotive,f38c2fdf,True,Gift Card,822.47,59235132,Jump Starter,9,5,Phoenix,USA,IL,868 Main St,52098,new,2024-04-20 06:46:40,f5fc0b20-461c-4b02-9460-77011209e689
Books,c47a1bf2,False,Debit Card,385.42,27502ba3,Cookbook,6,,Houston,USA,IL,9492 Cedar St,96504,"new,sale,trending",2025-02-25 08:35:40,fb878886-1998-42ea-91d5-1cd67c22bc31
Books,da91456f,True,Cash,797.12,cb79af8e,Self-Help,9,4,Los Angeles,USA,IL,2100 Main St,30009,sale,2025-01-26 17:18:40,5959dab2-5fb8-4dc3-bdf4-e50c3883178f
Grocery,5dfc7176,False,Cash,520.68,a76af7d7,Cereal,1,1,New York,USA,CA,8730 Oak St,93688,,2025-02-17 09:48:40,5cc2f4ad-652c-40d2-a67c-a87cd825a6fc
Grocery,87441210,True,Bank Transfer,170.11,72757053,Frozen Meals,9,,Chicago,USA,IL,9253 Main St,10309,sale,2024-08-26 20:20:40,999ef228-0f1a-4a49-af51-bcbea42a08ea
Books,47e722a2,True,PayPal,577.68,1b889974,Science Fiction,4,1,Los Angeles,USA,AZ,8412 Cedar St,58249,limited,2024-04-25 18:20:40,80b33550-982c-4728-b2c6-ba033a99c04b
Home & Kitchen,cc6a4181,True,Gift Card,359.32,89e2e58c,Plates,8,4,Phoenix,USA,NY,9684 Main St,59365,trending,2024-04-15 21:39:40,48aea925-d638-47ff-acdb-6f8379afa340
Grocery,b6323472,False,Bank Transfer,559.58,0ca76f26,Coffee,3,,Los Angeles,USA,TX,1299 Pine St,98894,"exclusive,new,trending",2025-02-10 12:41:40,cca6d298-0bb5-47a2-8604-29446a37115a
Clothing,00abbc78,False,PayPal,332.64,81d2d503,Hat,5,,Los Angeles,USA,TX,2278 Oak St,59510,"exclusive,new",2025-02-10 08:16:40,b0c32c7c-bbd6-46e9-9dd3-a2ee97433cfa
Toys,027fc2d3,True,Credit Card,993.87,7488cff2,Doll,6,2,Chicago,USA,IL,8748 Pine St,87913,"sale,limited",2024-10-09 04:57:40,722d8121-55c1-4a96-8b91-78f038b850a7
Home & Kitchen,78bed0e4,False,Debit Card,320.81,cfc1f290,Knife Set,4,,New York,USA,CA,982 Maple St,29632,trending,2024-07-30 20:02:40,94333810-8fa4-4ca8-9309-971fda8e2ad7
Automotive,94999d70,True,Gift Card,883.55,b7766c21,Air Freshener,10,,Los Angeles,USA,NY,2690 Pine St,63836,"sale,exclusive,new",2024-10-21 16:33:40,a2b77e1f-7073-459a-9b6a-e371039aebf9
Health,ddcb68ec,False,PayPal,969.77,7e632b27,Thermometer,8,3,Los Angeles,USA,NY,5530 Maple St,56498,"limited,sale",2024-04-23 17:47:40,16888b24-c45e-49b1-b840-85ad237770bd
Automotive,8a2b601e,True,Bank Transfer,311.4,76fec621,Tire Gauge,6,3,Houston,USA,IL,9066 Maple St,37580,"new,sale,trending",2024-07-28 23:25:40,db8b7887-99de-4707-ab6d-b75759c5f962
Beauty,e398ef7a,True,Cash,235.84,6cf27837,Lipstick,10,,Los Angeles,USA,TX,8818 Cedar St,57687,"sale,limited",2024-12-11 05:22:40,cf649fbb-87fd-4471-8826-f35b909f237f
Books,6ad8bcc1,False,Cash,925.92,da1c0985,Cookbook,5,4,New York,USA,TX,7888 Oak St,43074,,2024-12-18 19:36:40,f4e191cd-abc8-4f70-8d67-df5a6616ea79
Books,62cba03a,True,Debit Card,767.49,6a5ca86d,Biography,8,1,Chicago,USA,TX,7886 Main St,61628,limited,2024-09-30 12:46:40,16f68ad5-03f9-42f4-b776-f57e38a71de9
Clothing,96d98e90,True,Cash,816.05,3aeda5c2,Hat,2,3,New York,USA,TX,5495 Pine St,54916,"exclusive,limited,trending",2024-12-21 07:13:40,a6f9e958-9f03-4c3f-8c9a-0d9dc20eaf1a
Books,bf4ae29c,True,Debit Card,550.08,cda0d38b,Science Fiction,8,1,Houston,USA,NY,1363 Oak St,87856,"sale,trending",2024-04-16 04:01:40,1a36d2a8-8393-4171-b730-a67c3eef68ea
Grocery,facf28ab,True,Credit Card,258.12,d9c689a5,Snacks,10,,Los Angeles,USA,TX,782 Cedar St,47747,"trending,sale",2024-11-08 09:18:40,bd97bb76-ca0e-4fd6-9f88-bff221877e07
Home & Kitchen,d63ee603,False,PayPal,348.31,2b981b3a,Knife Set,10,,Houston,USA,TX,4701 Pine St,65148,sale,2025-02-28 15:28:40,59dfa651-fe28-4497-be82-1052cd6f4039
Home & Kitchen,9a75f13c,False,PayPal,159.25,5f684e6c,Toaster,5,,New York,USA,TX,3280 Oak St,44934,"limited,trending,exclusive",2024-08-29 00:22:40,1dc4c238-3615-4d6e-8f6a-b3d0ef8308c4
Automotive,b8cfc5fd,True,PayPal,505.57,b7e5b163,Car Wax,1,,Phoenix,USA,AZ,2556 Cedar St,35847,"trending,exclusive",2024-12-26 06:17:40,f90b8e47-5f72-4182-89ec-6d2bcda908d5
Clothing,4ef11c30,True,Credit Card,382.45,61119c14,Jeans,9,5,Phoenix,USA,NY,3683 Main St,57888,"sale,trending",2025-03-05 07:07:40,3fc59b03-d53a-4675-b089-aee54d596cc6
Automotive,8bf218fa,True,Debit Card,640.95,3b15bf90,Jump Starter,10,,Phoenix,USA,IL,4362 Oak St,95424,new,2024-08-31 02:24:40,33e30922-a729-4230-b989-12f976852bc0
Books,6df06ca4,True,Debit Card,270.38,1a7666e8,History,2,5,Los Angeles,USA,AZ,5105 Maple St,89785,,2024-08-17 03:14:40,bb8e88b7-03b5-4667-b4d1-69d6ce2e7dd8
Sports,eec9e47a,True,Debit Card,698.98,d7bfbded,Bicycle,8,3,Phoenix,USA,CA,4467 Cedar St,95751,exclusive,2024-11-15 02:44:40,df3caa35-f765-46d7-bf35-a2350bf38005
Grocery,ad7d9364,False,PayPal,307.32,874baa57,Frozen Meals,10,4,Chicago,USA,AZ,5559 Maple St,34834,,2024-11-14 10:17:40,c35330d1-f5ca-451d-a65c-4ace2771cbe5
Grocery,7e1cb8b5,True,Cash,88.13,ba80a61f,Snacks,5,4,Houston,USA,CA,9264 Pine St,71985,"trending,new",2024-03-30 22:04:40,0c7879a0-ed0f-4bb8-a786-a3cba5d9ca4d
Beauty,e06b13dc,True,Cash,741.24,da2fd31a,Lipstick,1,,Phoenix,USA,AZ,6423 Oak St,21931,"trending,limited,exclusive",2024-09-16 02:15:40,c727dd97-8f53-4412-850f-55ab865a0be7
Health,e1ab1b75,True,Cash,188.59,e8f9ed31,Bandages,1,5,New York,USA,TX,2643 Maple St,91585,"new,trending,limited",2025-02-11 19:36:40,6ed0225c-eef2-4fab-a773-2d7683d40093
Beauty,372c1d42,True,Bank Transfer,961.11,e8c75b57,Hair Dryer,9,4,Chicago,USA,AZ,541 Main St,95495,sale,2024-04-18 18:55:40,a0f90808-46ee-4336-acbf-15a2ae9c4467
Sports,cc3fb7f0,False,Debit Card,497.58,8ea72e82,Dumbbells,6,2,Chicago,USA,CA,7978 Main St,63530,"limited,sale,exclusive",2024-11-29 02:21:40,376e4753-e35b-4a9f-b901-0afc3153e107
Health,555df236,False,Debit Card,322.99,30ba15b1,Bandages,6,1,Chicago,USA,CA,3117 Maple St,70232,,2025-01-14 09:38:40,19e5afb4-8096-40ec-8c6e-48509cf8d230
Electronics,54e9e068,False,PayPal,482.58,660834b9,Laptop,2,,Los Angeles,USA,AZ,2760 Cedar St,84488,"new,exclusive",2024-05-17 14:01:40,6196adb3-4e36-40e4-aba8-4cffe3ffc560
Automotive,13780bbc,False,Credit Card,453.04,6bfba175,Tire Gauge,2,5,New York,USA,NY,8957 Maple St,35160,,2024-10-28 23:47:40,789f26ab-5311-480c-9b9a-151b444bfdaf
