category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Toys,9b34c266,True,Gift Card,378.7,b2dbe291,Action Figure,3,3,New York,USA,NY,8609 Maple St,50863,,2024-11-05 19:43:40,0263d012-9870-47ed-9665-48363cdbdce9
Grocery,da9727d5,True,PayPal,485.44,e29fa61f,Pasta,8,,Houston,USA,AZ,856 Oak St,66015,"limited,new",2025-02-04 03:07:40,fc0c3f1c-4033-48ed-b160-3bf975b0c83c
Home & Kitchen,bac2573b,True,Cash,141.85,df9751f8,Knife Set,4,3,Houston,USA,CA,7597 Cedar St,18407,"exclusive,trending",2024-11-25 23:28:40,febc04ce-eb00-4844-b3d5-c5246eb21e9d
Books,16f8377a,True,Gift Card,74.27,ef0f1a8d,Fiction Novel,9,,Chicago,USA,IL,5303 Main St,28809,,2024-03-18 14:00:40,b35f492c-915b-4c52-8fe5-03115637d02a
Books,bd98216c,True,Credit Card,177.9,13ca20c2,Self-Help,7,1,Phoenix,USA,AZ,4893 Pine St,85661,,2024-08-08 12:35:40,f0bd2394-6643-42d2-827b-279f275fefdd
Books,e5d77801,False,PayPal,989.59,68dd2037,History,5,5,Los Angeles,USA,CA,1873 Main St,37108,,2024-06-07 06:05:40,f881b4fb-065d-4af9-a382-b52786ae278c
Grocery,2ffde9dd,True,Cash,973.56,376fe423,Pasta,4,,Los Angeles,USA,TX,2535 Maple St,94989,"limited,new",2024-05-14 12:00:40,d13de131-97e4-4635-a468-19457edc62c7
Home & Kitchen,b6258e7e,True,Cash,99.87,b766e905,Blender,2,3,New York,USA,CA,8364 Cedar St,12079,sale,2024-07-22 17:28:40,44086a2f-1352-439c-b3ff-1f165f64e156
Clothing,b98b4f93,False,Cash,303.59,7a89497d,Hat,7,,Phoenix,USA,NY,9999 Cedar St,10239,exclusive,2024-03-18 19:47:40,04e0163d-7764-4e69-8176-b0eba9474f59
Books,ddf8ac6c,True,Debit Card,603.9,51973dbf,Science Fiction,3,,Chicago,USA,CA,9392 Oak St,13755,"new,trending,sale",2024-08-24 15:56:40,14167f89-4dde-4a3a-ab88-1c8bcd491061
Beauty,af8b8e6a,False,Bank Transfer,101.17,2f686db1,Face Cream,10,1,Phoenix,USA,AZ,864 Pine St,27921,"sale,exclusive,limited",2024-09-24 04:16:40,6a54e180-655b-400d-89ac-42ea257a998a
Electronics,e5a193d6,True,Credit Card,224.17,c06757d8,Smart Watch,8,5,Chicago,USA,IL,2047 Pine St,30799,,2025-03-17 22:17:40,82634fcb-7936-4a57-bfe1-e57396e28cf2
Electronics,ab781442,True,PayPal,24.42,e442f950,Tablet,7,,Phoenix,USA,IL,504 Main St,67616,sale,2024-08-18 20:21:40,d6a0f9f1-e592-4517-8b7e-26b14dd9f344
Beauty,5511f079,False,Gift Card,148.46,e31ceb5e,Perfume,2,3,New York,USA,NY,4364 Maple St,97583,,2024-08-18 03:19:40,e79f30bb-75e8-4535-85d7-830451f88abe
Beauty,20c448e8,True,Bank Transfer,278.1,19fee881,Nail Polish,7,3,Houston,USA,NY,4769 Oak St,66327,"limited,trending",2024-06-18 09:54:40,64706552-9c05-4310-964d-2a49bb05ed99
Electronics,4f35628e,False,Gift Card,400.54,74440409,Headphones,6,,Chicago,USA,AZ,7350 Maple St,96051,"sale,exclusive",2024-06-19 04:10:40,0b97ac2e-fbad-4179-9816-7ecc07cc4964
Home & Kitchen,a5423a0c,False,Gift Card,203.2,3ceae6aa,Microwave,9,1,New York,USA,CA,7378 Main St,68620,,2024-05-21 03:55:40,fbfad96b-0c6f-4661-9df7-df320e8572c5
Toys,4f7df022,False,Bank Transfer,391.68,fbc74b73,Puzzle,6,2,New York,USA,IL,4775 Cedar St,68535,,2024-10-31 22:31:40,32f13811-88ae-4d37-b409-ce0740fc312f
Sports,5911ae92,True,PayPal,961.34,8362ca4f,Dumbbells,2,4,Los Angeles,USA,AZ,1396 Maple St,46285,"trending,limited,new",2024-11-08 05:20:40,b84f5e1c-ba94-495a-b73a-1f62303ad617
Automotive,060cf75d,False,Credit Card,537.34,86c6573a,Tire Gauge,6,2,Chicago,USA,IL,3245 Cedar St,23828,"trending,sale",2024-06-19 06:48:40,2eaba69a-66d1-4dc6-8587-9cdef38a695f
Toys,dcc1ebf9,False,Bank Transfer,948.84,425c7f18,Building Blocks,6,1,Chicago,USA,IL,231 Cedar St,54055,,2024-07-21 11:49:40,7df6d8b2-5965-437d-a1dd-c28ab971fe9a
Home & Kitchen,9e357be1,False,PayPal,928.85,9d6c5cab,Microwave,5,2,Chicago,USA,AZ,1076 Maple St,62515,limited,2024-08-10 00:22:40,942f1d40-c510-4207-b9de-5e2e4e68b5fd
Sports,84a7593a,False,Bank Transfer,571.78,2f2d68fc,Bicycle,2,,Houston,USA,IL,9974 Maple St,10523,,2025-01-03 13:58:40,d2150f36-988a-41a3-869d-7dafae6570f2
Clothing,6ac8ba6b,True,Credit Card,601.23,3ab0eba9,Hat,6,1,Los Angeles,USA,CA,5259 Pine St,97214,"new,limited,trending",2024-11-26 16:15:40,1b9f7647-0418-497f-8d12-37fe50fa6c3b
Toys,bbf8faf5,False,Gift Card,102.21,70f879f8,Doll,7,4,Chicago,USA,NY,8970 Oak St,80896,,2024-07-04 13:22:40,52a9d92d-94d4-4cf2-91ed-30a428f6a84d
Books,59987585,False,Debit Card,557.52,a8e7e0f3,Biography,2,4,Los Angeles,USA,AZ,4070 Main St,71003,,2024-09-26 02:00:40,92925611-fd52-47b1-84a4-2a4def0c7832
Grocery,c890b8c8,True,PayPal,595.41,5827fd4a,Frozen Meals,6,5,Los Angeles,USA,TX,9426 Cedar St,71148,new,2024-06-20 05:26:40,c4087174-1c25-4b1a-b4cf-318e2438a29a
Home & Kitchen,f04efc29,True,Bank Transfer,649.72,7b0772b4,Knife Set,7,,Houston,USA,TX,7352 Cedar St,50069,,2024-04-24 23:28:40,edd4aeca-4487-47c7-8766-318c04709184
Electronics,7f6ead99,True,Gift Card,439.31,efabf4f5,Smartphone,5,,Houston,USA,CA,9222 Maple St,76670,"exclusive,limited,sale",2024-08-21 01:40:40,12876242-2505-4fd3-ad55-6aa1ec31e4e5
Books,32478838,True,Debit Card,697.02,f7672659,Fiction Novel,5,4,Los Angeles,USA,TX,8163 Cedar St,51064,"exclusive,sale",2024-12-24 06:09:40,69e433ac-a3ef-4234-9226-d27ec09fd651
