category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Electronics,c8fe448c,True,Debit Card,192.22,fc41a5ec,Smartphone,8,2,Phoenix,USA,IL,6629 Pine St,20331,"sale,limited",2024-09-10 11:22:40,128feb1d-3097-4aff-8fa7-721f050d34b3
Toys,c9327e42,True,Credit Card,751.02,babcf919,Building Blocks,1,,Los Angeles,USA,CA,5571 Cedar St,95343,,2025-02-02 02:39:40,f39c2658-f693-428b-b2ed-3d4c29513f98
Grocery,6c98fbbd,True,Gift Card,846.79,2946d7fd,Pasta,8,5,Phoenix,USA,CA,5154 Pine St,37266,"trending,exclusive",2025-02-03 14:59:40,d95e22f4-0bd7-4df6-a6e6-0ba64010556e
Home & Kitchen,e6e41524,False,Cash,399.99,8ec969d4,Plates,8,4,Phoenix,USA,TX,4169 Oak St,37676,"limited,exclusive,new",2024-09-23 07:57:40,9545e820-786e-4c34-96cb-8b02117d9d9c
Grocery,681e2338,False,Credit Card,601.83,5a3edb02,Snacks,10,5,Houston,USA,AZ,2790 Main St,29726,limited,2024-11-26 15:59:40,fe05dad0-4e72-4b83-85a8-60bcc26181f6
Automotive,a51b4b1d,False,Gift Card,659.18,1496ad6c,Floor Mats,10,5,Houston,USA,AZ,3604 Cedar St,93917,new,2025-01-22 08:28:40,efd6de59-a68a-4a20-a6e9-3aaf75798e7a
Electronics,c3884e60,True,Credit Card,146.86,f5d705ac,TV,6,1,Los Angeles,USA,NY,6715 Cedar St,85418,new,2024-08-15 10:49:40,135c48cf-e03e-4301-8511-c86024f85c46
Toys,4f3cefcd,False,Cash,690.37,507aa979,Puzzle,1,4,Chicago,USA,IL,7974 Oak St,61927,,2024-06-27 12:11:40,47323d40-f034-4f2d-b913-0747f134ba20
Electronics,4ff24b97,False,Gift Card,660.6,7d546b59,Tablet,6,,New York,USA,AZ,6844 Cedar St,23097,"trending,new,sale",2024-09-09 01:56:40,60742122-b99b-4f59-9a40-6fec59798d72
Electronics,82228814,True,Cash,910.63,96dd3c68,Smartphone,9,,Chicago,USA,NY,7340 Cedar St,63666,"exclusive,new",2024-06-13 19:17:40,c7ce509a-2c68-4f4b-a7c5-b928f00ac9da
Books,b28b9ddd,False,Gift Card,244.08,65ef47ab,History,8,5,New York,USA,CA,6291 Pine St,89320,"new,exclusive",2024-03-27 22:01:40,4807b803-0e92-4b4d-9ef8-16cf6d8c5f2c
Health,e13827e4,False,Cash,908.11,fe81af90,Pain Reliever,2,4,Los Angeles,USA,AZ,1625 Oak St,81168,"exclusive,new,sale",2024-09-12 04:11:40,ad495afc-6187-4398-a74d-8ebf03a57ea3
