category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Clothing,ef2ebd49,False,PayPal,383.47,c9aec9c0,Hat,10,5,Los Angeles,USA,AZ,9959 Main St,59275,new,2024-04-14 15:37:40,7941f3e7-aa99-4091-b79d-171c630b6a11
Automotive,c04ab597,False,Debit Card,364.57,e1f06072,Air Freshener,3,4,Houston,USA,AZ,5934 Oak St,56253,"new,exclusive,trending",2024-03-29 23:57:40,ecbcd13a-e832-43da-9aeb-6cb6cd993429
Grocery,76213c3f,True,Credit Card,83.79,58d966fe,Coffee,10,5,Phoenix,USA,TX,181 Main St,61621,"trending,sale,limited",2024-10-14 09:40:40,60bd8259-bc90-4d91-9582-58e6029fa176
Books,851cdefc,False,Credit Card,769.48,9a28416c,Cookbook,7,5,New York,USA,AZ,2003 Main St,86124,,2024-08-09 07:04:40,870020d9-651a-41c1-9bd0-a5ae5ac2481d
Toys,34835cfe,True,Bank Transfer,775.35,40af0d0b,Doll,1,,Houston,USA,NY,1370 Pine St,94923,,2025-01-20 16:53:40,6005e4ee-946a-4476-a00d-1189a680725e
Books,b56f9879,True,PayPal,95.44,e129832c,Self-Help,8,,Phoenix,USA,CA,4656 Oak St,16922,"sale,exclusive,trending",2024-04-09 22:08:40,4c0370cb-dee5-4059-a9e7-8c4ba11603d3
Home & Kitchen,d2e4700c,False,Debit Card,25.17,8e24f8d1,Blender,10,1,New York,USA,CA,1734 Oak St,39328,,2025-02-20 16:35:40,13477752-d484-4560-8b46-4b8c1f3ad176
Sports,06a049dd,False,Bank Transfer,105.07,9c98c1ac,Running Shoes,2,3,New York,USA,NY,768 Main St,97258,"exclusive,trending",2025-03-02 22:12:40,6b01ef1b-a0d5-49ef-b27e-123068f7b02f
Sports,f66bbc14,False,Gift Card,515.0,6109a6f4,Running Shoes,10,,Houston,USA,AZ,329 Maple St,24418,exclusive,2024-11-12 00:43:40,3190fde9-24c4-4fda-b94f-23a7d55bb2b2
Toys,1575dc9d,True,Debit Card,879.56,345ad65b,Action Figure,1,4,Los Angeles,USA,IL,5475 Oak St,62228,"sale,new,trending",2024-12-17 10:48:40,03f991a4-3c43-4fef-937a-30b9ce5c859e
Grocery,cb32b908,True,Credit Card,348.36,290ce141,Cereal,8,,New York,USA,CA,3412 Maple St,69982,"limited,trending",2025-03-07 08:20:40,fed94e82-acb0-4ed2-a028-6ee615af370a
Home & Kitchen,19061564,False,Cash,419.8,d51d051a,Microwave,6,4,Los Angeles,USA,NY,7199 Pine St,36264,,2024-05-06 17:28:40,dbc5c261-0cbb-4e1b-a78a-d42336da5354
Sports,934033d5,False,Credit Card,73.39,19d1851e,Bicycle,9,4,Houston,USA,CA,3106 Pine St,14377,,2024-07-31 04:14:40,a0eb557a-4dd6-467f-b0c0-4ad8d3bad898
